click	 show	 CTR % campId	 advId	                           user	
    1	   15	 6.67      1	    1	                   113_0_30_1_1
    0	   18	 0.00      1	    1	                   113_1_24_1_1
    3	   15	 20.00     1	    1	                   113_0_21_1_1
    1	   11	 9.09      1	    1	                   113_1_22_1_1
    0	   10	 0.00      1	    1	                   113_1_36_1_1
    2	   12	 16.67     1	    1	                   113_0_19_1_1
    2	   14	 14.29     1	    1	                   113_0_34_1_1
    3	   23	 13.04     1	    1	                   113_1_20_1_1
    0	   20	 0.00      1	    1	                   113_0_32_1_1
    1	   19	 5.26      1	    1	                   113_0_29_1_1
    1	   16	 6.25      1	    1	                   113_1_33_1_1
    3	   14	 21.43     1	    1	                   113_1_18_1_1
    0	   13	 0.00      1	    1	                   113_0_33_1_1
    0	   13	 0.00      1	    1	                   113_1_31_1_1
    2	   18	 11.11     1	    1	                   113_0_25_1_1
    2	   12	 16.67     1	    1	                   113_0_26_1_1
    1	   10	 10.00     1	    1	                   113_1_19_1_1
    2	    7	 28.57     1	    1	                   113_1_30_1_1
    1	   15	 6.67      1	    1	                   113_0_18_1_1
    2	   13	 15.38     1	    1	                   113_1_34_1_1
    0	   10	 0.00      1	    1	                   113_1_23_1_1
    0	    6	 0.00      1	    1	                   113_0_35_1_1
    0	   13	 0.00      1	    1	                   113_1_25_1_1
    1	    8	 12.50     1	    1	                   113_0_31_1_1
    0	    9	 0.00      1	    1	                   113_1_28_1_1
    2	   15	 13.33     1	    1	                   113_1_35_1_1
    2	   13	 15.38     1	    1	                   113_1_26_1_1
    1	   18	 5.56      1	    1	                   113_1_32_1_1
    0	    9	 0.00      1	    1	                   113_0_36_1_1
    1	   11	 9.09      1	    1	                   113_0_27_1_1
    1	   12	 8.33      1	    1	                   113_0_23_1_1
    3	    9	 33.33     1	    1	                   113_0_24_1_1
    2	    7	 28.57     1	    1	                   113_0_20_1_1
    1	    9	 11.11     1	    1	                   113_1_29_1_1
    1	    8	 12.50     1	    1	                   113_0_28_1_1
    1	   10	 10.00     1	    1	                   113_1_27_1_1
    3	   16	 18.75     1	    1	                   113_1_21_1_1
    5	   15	 33.33     1	    1	                   113_0_22_1_1
    0	   12	 0.00      1	    2	                   113_0_34_1_2
    2	   16	 12.50     1	    2	                   113_1_27_1_2
    3	   12	 25.00     1	    2	                   113_0_28_1_2
    1	    7	 14.29     1	    2	                   113_0_21_1_2
    1	   13	 7.69      1	    2	                   113_1_29_1_2
    0	   10	 0.00      1	    2	                   113_1_21_1_2
    0	   15	 0.00      1	    2	                   113_0_25_1_2
    0	   14	 0.00      1	    2	                   113_1_30_1_2
    0	   23	 0.00      1	    2	                   113_1_23_1_2
    2	   18	 11.11     1	    2	                   113_0_26_1_2
    2	   11	 18.18     1	    2	                   113_0_23_1_2
    2	   13	 15.38     1	    2	                   113_1_22_1_2
    0	   14	 0.00      1	    2	                   113_1_35_1_2
    0	   11	 0.00      1	    2	                   113_1_28_1_2
    1	   10	 10.00     1	    2	                   113_0_35_1_2
    2	    7	 28.57     1	    2	                   113_0_18_1_2
    2	   16	 12.50     1	    2	                   113_0_29_1_2
    1	    8	 12.50     1	    2	                   113_1_32_1_2
    1	   15	 6.67      1	    2	                   113_0_33_1_2
    0	   11	 0.00      1	    2	                   113_0_36_1_2
    1	   12	 8.33      1	    2	                   113_0_20_1_2
    2	   12	 16.67     1	    2	                   113_1_19_1_2
    0	   13	 0.00      1	    2	                   113_1_20_1_2
    0	   24	 0.00      1	    2	                   113_0_30_1_2
    1	   15	 6.67      1	    2	                   113_0_19_1_2
    2	   13	 15.38     1	    2	                   113_1_26_1_2
    1	   15	 6.67      1	    2	                   113_1_24_1_2
    2	   13	 15.38     1	    2	                   113_0_24_1_2
